Single Measure,Modality,no,Item,Description,ItemType,Required,Values,Unnamed: 8
0,Current Medication Status,10,anti_depressant_use,Usage of anti-depressant drugs,string,nullable,"[""Yes"", ""No""]",
0,Current Medication Status,11,sleeping_pills_use,Usage of sleeping pills,string,nullable,"[""Yes"", ""No""]",
0,Current Medication Status,12,stomach_medicines_use,"Usage of stomach medicines (including for nausea, GERD)",string,nullable,"[""Yes"", ""No""]",
0,Current Medication Status,13,laxatives_use,Usage of laxatives (not fibers),string,nullable,"[""Yes"", ""No""]",
0,Current Medication Status,14,NSAIDs_use,Usage of NSAIDs,string,nullable,"[""Yes"", ""No""]",
0,Current Medication Status,15,morphines_use,Usage of morphines,string,nullable,"[""Yes"", ""No""]",
0,Current Medication Status,16,anti_psychotics_use,Usage of anti-psychotics,string,nullable,"[""Yes"", ""No""]",
0,Current Medication Status,16,insulin_use,Usage of insulin,string,nullable,"[""Yes"", ""No""]",
0,Current Medication Status,16,hormone_replacement_therapy,Usage of sex hormones replacement therapy,string,nullable,"[""Yes"", ""No""]",
0,Hoehn and Yahr,36,hoehn_and_yahr_stage,Modified or original HY,numeric,nullable,(y>=0) & (y<=5),
0,Rankin Scale,1,rankin_scale,Modified or original Rankin Scale,numeric,nullable,(y>=0) & (y<=6),
0,MDS-UPDRS Part I,1,mds_updrs_part_i_primary_info_source,MDS-UPDRS Part I Questions 1-6 Primary Source Of Information,string,nullable,,
0,MDS-UPDRS Part I,2,code_upd2101_cognitive_impairment,1.01 MDS-UPDRS - Cognitive Impairment (UPD2101),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part I,3,code_upd2102_hallucinations_and_psychosis,1.02 MDS-UPDRS - Hallucinations and Psychosis (UPD2102),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part I,4,code_upd2103_depressed_mood,1.03 MDS-UPDRS - Depressed Mood (UPD2103),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part I,5,code_upd2104_anxious_mood,1.04 MDS-UPDRS - Anxious Mood (UPD2104),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part I,6,code_upd2105_apathy,1.05 MDS-UPDRS - Apathy (UPD2105),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part I,7,code_upd2106_dopamine_dysregulation_syndrome_features,1.06 MDS-UPDRS - Features of Dopamine Dysregulation Syndrome (UPD2106),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part I,8,mds_updrs_part_i_sub_score,MDS-UPDRS Part I Questions 1-6 Summary Sub-Score,integer,nullable,(y>=0) & (y<=24),
0,MDS-UPDRS Part I,9,mds_updrs_part_i_pat_quest_primary_info_source,MDS-UPDRS Part I Patient Questionnaire Primary Source Of Information,string,nullable,,
0,MDS-UPDRS Part I,10,code_upd2107_pat_quest_sleep_problems,1.07 MDS-UPDRS - Sleep Problems (UPD2107),integer,nullable,"y.isin([0,1,2,3,4])",
0,MDS-UPDRS Part I,11,code_upd2108_pat_quest_daytime_sleepiness,1.08 MDS-UPDRS - Daytime Sleepiness (UPD2108),integer,nullable,"y.isin([0,1,2,3,4])",
